Run,Replicate,Laser_Power_W,Scanning_Speed_mm_s,Pulse_Frequency_kHz,Hatch_Spacing_um,Energy_Density_J_mm2,Microhardness_HV,Surface_Roughness_Ra_um,Notes
1,1,20,100,20,40,5,,, 
1,2,20,100,20,40,5,,,
1,3,20,100,20,40,5,,,
2,1,20,300,40,80,0.83,,,
2,2,20,300,40,80,0.83,,,
2,3,20,300,40,80,0.83,,,
3,1,20,500,60,120,0.33,,,
3,2,20,500,60,120,0.33,,,
3,3,20,500,60,120,0.33,,,
4,1,35,100,40,120,2.92,,,
4,2,35,100,40,120,2.92,,,
4,3,35,100,40,120,2.92,,,
5,1,35,300,60,40,2.92,,,
5,2,35,300,60,40,2.92,,,
5,3,35,300,60,40,2.92,,,
6,1,35,500,20,80,0.88,,,
6,2,35,500,20,80,0.88,,,
6,3,35,500,20,80,0.88,,,
7,1,50,100,60,80,6.25,,,
7,2,50,100,60,80,6.25,,,
7,3,50,100,60,80,6.25,,,
8,1,50,300,20,120,1.39,,,
8,2,50,300,20,120,1.39,,,
8,3,50,300,20,120,1.39,,,
9,1,50,500,40,40,2.5,,,
9,2,50,500,40,40,2.5,,,
9,3,50,500,40,40,2.5,,,
